tanggal,IDKAB2,nama_kab,confirmation,confirmation_selesai,confirmation_meninggal,pertumbuhan_confirmation,pertumbuhan_confirmation_selesai,pertumbuhan_confirmation_meninggal
8/1/2020,0,BELUM TERIDENTIFIKASI,2528,1293,16,5,19,0
8/1/2020,3201,KAB. BOGOR,322,195,8,4,0,0
8/1/2020,3204,KAB. BANDUNG,156,100,5,0,0,0
8/1/2020,3207,KAB. CIAMIS,13,12,0,0,0,0
8/1/2020,3209,KAB. CIREBON,37,15,3,0,0,0
8/1/2020,3210,KAB. MAJALENGKA,12,6,1,0,0,0
8/1/2020,3212,KAB. INDRAMAYU,50,32,4,0,0,0
8/1/2020,3215,KAB. KARAWANG,97,41,0,0,0,0
8/1/2020,3216,KAB. BEKASI,331,184,27,15,0,0
8/1/2020,3217,KAB. BANDUNG BARAT,83,65,3,0,0,0
8/1/2020,3273,KOTA BANDUNG,458,314,40,3,0,0
8/1/2020,3275,KOTA BEKASI,589,372,32,3,0,0
8/1/2020,3276,KOTA DEPOK,1077,804,39,8,0,0
8/1/2020,3277,KOTA CIMAHI,107,94,2,0,0,0
8/1/2020,3202,KAB. SUKABUMI,71,32,0,0,0,0
8/1/2020,3203,KAB. CIANJUR,35,17,1,0,0,0
8/1/2020,3205,KAB. GARUT,32,19,3,0,0,0
8/1/2020,3206,KAB. TASIKMALAYA,15,5,0,0,0,0
8/1/2020,3208,KAB. KUNINGAN,49,25,2,0,0,0
8/1/2020,3211,KAB. SUMEDANG,28,13,0,0,0,0
8/1/2020,3213,KAB. SUBANG,82,50,2,1,0,0
8/1/2020,3214,KAB. PURWAKARTA,49,29,1,1,0,0
8/1/2020,3218,KAB. PANGANDARAN,22,17,0,1,0,0
8/1/2020,3271,KOTA BOGOR,235,161,17,11,0,0
8/1/2020,3272,KOTA SUKABUMI,45,40,0,0,0,0
8/1/2020,3274,KOTA CIREBON,29,23,2,0,0,0
8/1/2020,3278,KOTA TASIKMALAYA,23,21,2,0,0,0
8/1/2020,3279,KOTA BANJAR,9,7,0,0,0,0
8/2/2020,0,BELUM TERIDENTIFIKASI,2529,1300,16,1,7,0
8/2/2020,3201,KAB. BOGOR,323,195,8,1,0,0
8/2/2020,3204,KAB. BANDUNG,156,100,5,0,0,0
8/2/2020,3207,KAB. CIAMIS,13,12,0,0,0,0
8/2/2020,3209,KAB. CIREBON,37,15,3,0,0,0
8/2/2020,3210,KAB. MAJALENGKA,12,6,1,0,0,0
8/2/2020,3212,KAB. INDRAMAYU,51,32,4,1,0,0
8/2/2020,3215,KAB. KARAWANG,101,41,0,4,0,0
8/2/2020,3216,KAB. BEKASI,335,184,27,4,0,0
8/2/2020,3217,KAB. BANDUNG BARAT,83,65,3,0,0,0
8/2/2020,3273,KOTA BANDUNG,461,314,40,3,0,0
8/2/2020,3275,KOTA BEKASI,615,372,32,26,0,0
8/2/2020,3276,KOTA DEPOK,1078,804,39,1,0,0
8/2/2020,3277,KOTA CIMAHI,107,94,2,0,0,0
8/2/2020,3202,KAB. SUKABUMI,71,32,0,0,0,0
8/2/2020,3203,KAB. CIANJUR,36,17,1,1,0,0
8/2/2020,3205,KAB. GARUT,33,19,3,1,0,0
8/2/2020,3206,KAB. TASIKMALAYA,24,5,0,9,0,0
8/2/2020,3208,KAB. KUNINGAN,49,25,2,0,0,0
8/2/2020,3211,KAB. SUMEDANG,28,13,0,0,0,0
8/2/2020,3213,KAB. SUBANG,82,50,2,0,0,0
8/2/2020,3214,KAB. PURWAKARTA,49,29,1,0,0,0
8/2/2020,3218,KAB. PANGANDARAN,22,17,0,0,0,0
8/2/2020,3271,KOTA BOGOR,236,161,17,1,0,0
8/2/2020,3272,KOTA SUKABUMI,45,40,0,0,0,0
8/2/2020,3274,KOTA CIREBON,29,23,2,0,0,0
8/2/2020,3278,KOTA TASIKMALAYA,23,21,2,0,0,0
8/2/2020,3279,KOTA BANJAR,9,7,0,0,0,0
8/3/2020,0,BELUM TERIDENTIFIKASI,2548,1347,16,19,47,0
8/3/2020,3201,KAB. BOGOR,323,196,8,0,1,0
8/3/2020,3204,KAB. BANDUNG,156,100,5,0,0,0
8/3/2020,3207,KAB. CIAMIS,13,12,0,0,0,0
8/3/2020,3209,KAB. CIREBON,37,15,3,0,0,0
8/3/2020,3210,KAB. MAJALENGKA,13,6,1,1,0,0
8/3/2020,3212,KAB. INDRAMAYU,51,32,4,0,0,0
8/3/2020,3215,KAB. KARAWANG,101,41,0,0,0,0
8/3/2020,3216,KAB. BEKASI,337,184,27,2,0,0
8/3/2020,3217,KAB. BANDUNG BARAT,83,65,3,0,0,0
8/3/2020,3273,KOTA BANDUNG,461,314,40,0,0,0
8/3/2020,3275,KOTA BEKASI,627,372,32,12,0,0
8/3/2020,3276,KOTA DEPOK,1078,804,39,0,0,0
8/3/2020,3277,KOTA CIMAHI,107,94,2,0,0,0
8/3/2020,3202,KAB. SUKABUMI,71,32,0,0,0,0
8/3/2020,3203,KAB. CIANJUR,36,17,1,0,0,0
8/3/2020,3205,KAB. GARUT,33,19,3,0,0,0
8/3/2020,3206,KAB. TASIKMALAYA,26,5,0,2,0,0
8/3/2020,3208,KAB. KUNINGAN,62,25,2,13,0,0
8/3/2020,3211,KAB. SUMEDANG,28,13,0,0,0,0
8/3/2020,3213,KAB. SUBANG,82,50,2,0,0,0
8/3/2020,3214,KAB. PURWAKARTA,49,29,1,0,0,0
8/3/2020,3218,KAB. PANGANDARAN,22,17,0,0,0,0
8/3/2020,3271,KOTA BOGOR,238,161,17,2,0,0
8/3/2020,3272,KOTA SUKABUMI,50,40,0,5,0,0
8/3/2020,3274,KOTA CIREBON,29,23,2,0,0,0
8/3/2020,3278,KOTA TASIKMALAYA,23,21,2,0,0,0
8/3/2020,3279,KOTA BANJAR,9,7,0,0,0,0
8/4/2020,0,BELUM TERIDENTIFIKASI,2603,1517,17,55,170,1
8/4/2020,3201,KAB. BOGOR,325,196,9,2,0,1
8/4/2020,3204,KAB. BANDUNG,156,100,5,0,0,0
8/4/2020,3207,KAB. CIAMIS,13,12,0,0,0,0
8/4/2020,3209,KAB. CIREBON,37,15,3,0,0,0
8/4/2020,3210,KAB. MAJALENGKA,13,6,1,0,0,0
8/4/2020,3212,KAB. INDRAMAYU,51,32,4,0,0,0
8/4/2020,3215,KAB. KARAWANG,103,41,0,2,0,0
8/4/2020,3216,KAB. BEKASI,341,184,28,4,0,1
8/4/2020,3217,KAB. BANDUNG BARAT,83,65,3,0,0,0
8/4/2020,3273,KOTA BANDUNG,476,314,41,15,0,1
8/4/2020,3275,KOTA BEKASI,635,372,33,8,0,1
8/4/2020,3276,KOTA DEPOK,1079,804,39,1,0,0
8/4/2020,3277,KOTA CIMAHI,112,94,2,5,0,0
8/4/2020,3202,KAB. SUKABUMI,71,32,0,0,0,0
8/4/2020,3203,KAB. CIANJUR,38,17,2,2,0,1
8/4/2020,3205,KAB. GARUT,33,19,3,0,0,0
8/4/2020,3206,KAB. TASIKMALAYA,26,5,0,0,0,0
8/4/2020,3208,KAB. KUNINGAN,62,25,2,0,0,0
8/4/2020,3211,KAB. SUMEDANG,28,13,0,0,0,0
8/4/2020,3213,KAB. SUBANG,82,50,2,0,0,0
8/4/2020,3214,KAB. PURWAKARTA,49,29,1,0,0,0
8/4/2020,3218,KAB. PANGANDARAN,22,17,0,0,0,0
8/4/2020,3271,KOTA BOGOR,238,161,17,0,0,0
8/4/2020,3272,KOTA SUKABUMI,50,40,0,0,0,0
8/4/2020,3274,KOTA CIREBON,29,23,2,0,0,0
8/4/2020,3278,KOTA TASIKMALAYA,23,21,2,0,0,0
8/4/2020,3279,KOTA BANJAR,9,7,0,0,0,0
8/5/2020,0,BELUM TERIDENTIFIKASI,2682,1527,17,79,10,0
8/5/2020,3201,KAB. BOGOR,338,196,9,13,0,0
8/5/2020,3204,KAB. BANDUNG,158,100,5,2,0,0
8/5/2020,3207,KAB. CIAMIS,13,12,0,0,0,0
8/5/2020,3209,KAB. CIREBON,37,15,3,0,0,0
8/5/2020,3210,KAB. MAJALENGKA,13,6,1,0,0,0
8/5/2020,3212,KAB. INDRAMAYU,51,32,4,0,0,0
8/5/2020,3215,KAB. KARAWANG,104,41,0,1,0,0
8/5/2020,3216,KAB. BEKASI,344,184,28,3,0,0
8/5/2020,3217,KAB. BANDUNG BARAT,83,65,3,0,0,0
8/5/2020,3273,KOTA BANDUNG,487,314,41,11,0,0
8/5/2020,3275,KOTA BEKASI,646,372,33,11,0,0
8/5/2020,3276,KOTA DEPOK,1081,804,39,2,0,0
8/5/2020,3277,KOTA CIMAHI,112,94,2,0,0,0
8/5/2020,3202,KAB. SUKABUMI,71,32,0,0,0,0
8/5/2020,3203,KAB. CIANJUR,38,17,2,0,0,0
8/5/2020,3205,KAB. GARUT,34,19,3,1,0,0
8/5/2020,3206,KAB. TASIKMALAYA,26,5,0,0,0,0
8/5/2020,3208,KAB. KUNINGAN,62,25,2,0,0,0
8/5/2020,3211,KAB. SUMEDANG,28,13,0,0,0,0
8/5/2020,3213,KAB. SUBANG,82,50,2,0,0,0
8/5/2020,3214,KAB. PURWAKARTA,50,29,1,1,0,0
8/5/2020,3218,KAB. PANGANDARAN,22,17,0,0,0,0
8/5/2020,3271,KOTA BOGOR,239,161,17,1,0,0
8/5/2020,3272,KOTA SUKABUMI,50,40,0,0,0,0
8/5/2020,3274,KOTA CIREBON,29,23,2,0,0,0
8/5/2020,3278,KOTA TASIKMALAYA,23,21,2,0,0,0
8/5/2020,3279,KOTA BANJAR,9,7,0,0,0,0
8/6/2020,0,BELUM TERIDENTIFIKASI,2739,1559,17,57,32,0
8/6/2020,3201,KAB. BOGOR,338,196,9,0,0,0
8/6/2020,3204,KAB. BANDUNG,159,100,5,1,0,0
8/6/2020,3207,KAB. CIAMIS,13,12,0,0,0,0
8/6/2020,3209,KAB. CIREBON,37,15,3,0,0,0
8/6/2020,3210,KAB. MAJALENGKA,14,6,1,1,0,0
8/6/2020,3212,KAB. INDRAMAYU,51,32,4,0,0,0
8/6/2020,3215,KAB. KARAWANG,104,41,0,0,0,0
8/6/2020,3216,KAB. BEKASI,346,184,28,2,0,0
8/6/2020,3217,KAB. BANDUNG BARAT,83,65,3,0,0,0
8/6/2020,3273,KOTA BANDUNG,490,314,41,3,0,0
8/6/2020,3275,KOTA BEKASI,657,372,33,11,0,0
8/6/2020,3276,KOTA DEPOK,1082,804,40,1,0,1
8/6/2020,3277,KOTA CIMAHI,117,94,2,5,0,0
8/6/2020,3202,KAB. SUKABUMI,72,32,0,1,0,0
8/6/2020,3203,KAB. CIANJUR,38,17,2,0,0,0
8/6/2020,3205,KAB. GARUT,35,19,3,1,0,0
8/6/2020,3206,KAB. TASIKMALAYA,26,5,0,0,0,0
8/6/2020,3208,KAB. KUNINGAN,62,25,2,0,0,0
8/6/2020,3211,KAB. SUMEDANG,28,13,0,0,0,0
8/6/2020,3213,KAB. SUBANG,82,50,2,0,0,0
8/6/2020,3214,KAB. PURWAKARTA,50,29,1,0,0,0
8/6/2020,3218,KAB. PANGANDARAN,22,17,0,0,0,0
8/6/2020,3271,KOTA BOGOR,239,161,17,0,0,0
8/6/2020,3272,KOTA SUKABUMI,50,40,0,0,0,0
8/6/2020,3274,KOTA CIREBON,29,23,2,0,0,0
8/6/2020,3278,KOTA TASIKMALAYA,23,21,2,0,0,0
8/6/2020,3279,KOTA BANJAR,9,7,0,0,0,0
8/7/2020,0,BELUM TERIDENTIFIKASI,2826,1622,19,87,63,2
8/7/2020,3201,KAB. BOGOR,342,196,9,4,0,0
8/7/2020,3204,KAB. BANDUNG,159,100,5,0,0,0
8/7/2020,3207,KAB. CIAMIS,14,12,0,1,0,0
8/7/2020,3209,KAB. CIREBON,37,15,4,0,0,1
8/7/2020,3210,KAB. MAJALENGKA,14,6,1,0,0,0
8/7/2020,3212,KAB. INDRAMAYU,51,32,4,0,0,0
8/7/2020,3215,KAB. KARAWANG,104,41,0,0,0,0
8/7/2020,3216,KAB. BEKASI,366,184,28,20,0,0
8/7/2020,3217,KAB. BANDUNG BARAT,84,65,3,1,0,0
8/7/2020,3273,KOTA BANDUNG,500,314,41,10,0,0
8/7/2020,3275,KOTA BEKASI,670,372,33,13,0,0
8/7/2020,3276,KOTA DEPOK,1084,804,40,2,0,0
8/7/2020,3277,KOTA CIMAHI,119,94,2,2,0,0
8/7/2020,3202,KAB. SUKABUMI,72,32,0,0,0,0
8/7/2020,3203,KAB. CIANJUR,38,17,2,0,0,0
8/7/2020,3205,KAB. GARUT,35,19,3,0,0,0
8/7/2020,3206,KAB. TASIKMALAYA,28,5,1,2,0,1
8/7/2020,3208,KAB. KUNINGAN,64,25,2,2,0,0
8/7/2020,3211,KAB. SUMEDANG,32,13,0,4,0,0
8/7/2020,3213,KAB. SUBANG,82,50,2,0,0,0
8/7/2020,3214,KAB. PURWAKARTA,50,29,1,0,0,0
8/7/2020,3218,KAB. PANGANDARAN,22,17,0,0,0,0
8/7/2020,3271,KOTA BOGOR,243,161,17,4,0,0
8/7/2020,3272,KOTA SUKABUMI,50,40,0,0,0,0
8/7/2020,3274,KOTA CIREBON,29,23,2,0,0,0
8/7/2020,3278,KOTA TASIKMALAYA,23,21,2,0,0,0
8/7/2020,3279,KOTA BANJAR,9,7,0,0,0,0
8/8/2020,0,BELUM TERIDENTIFIKASI,2916,1659,19,90,37,0
8/8/2020,3201,KAB. BOGOR,344,196,10,2,0,1
8/8/2020,3204,KAB. BANDUNG,160,100,5,1,0,0
8/8/2020,3207,KAB. CIAMIS,14,12,0,0,0,0
8/8/2020,3209,KAB. CIREBON,68,15,4,31,0,0
8/8/2020,3210,KAB. MAJALENGKA,33,6,1,19,0,0
8/8/2020,3212,KAB. INDRAMAYU,51,32,4,0,0,0
8/8/2020,3215,KAB. KARAWANG,115,41,0,11,0,0
8/8/2020,3216,KAB. BEKASI,383,184,28,17,0,0
8/8/2020,3217,KAB. BANDUNG BARAT,84,65,3,0,0,0
8/8/2020,3273,KOTA BANDUNG,514,314,42,14,0,1
8/8/2020,3275,KOTA BEKASI,687,372,34,17,0,1
8/8/2020,3276,KOTA DEPOK,1087,804,40,3,0,0
8/8/2020,3277,KOTA CIMAHI,133,94,2,14,0,0
8/8/2020,3202,KAB. SUKABUMI,72,32,0,0,0,0
8/8/2020,3203,KAB. CIANJUR,38,17,2,0,0,0
8/8/2020,3205,KAB. GARUT,43,19,3,8,0,0
8/8/2020,3206,KAB. TASIKMALAYA,28,5,1,0,0,0
8/8/2020,3208,KAB. KUNINGAN,65,25,2,1,0,0
8/8/2020,3211,KAB. SUMEDANG,32,13,0,0,0,0
8/8/2020,3213,KAB. SUBANG,82,50,2,0,0,0
8/8/2020,3214,KAB. PURWAKARTA,50,29,1,0,0,0
8/8/2020,3218,KAB. PANGANDARAN,22,17,0,0,0,0
8/8/2020,3271,KOTA BOGOR,253,161,17,10,0,0
8/8/2020,3272,KOTA SUKABUMI,52,40,0,2,0,0
8/8/2020,3274,KOTA CIREBON,29,23,2,0,0,0
8/8/2020,3278,KOTA TASIKMALAYA,23,21,2,0,0,0
8/8/2020,3279,KOTA BANJAR,9,7,0,0,0,0
8/9/2020,0,BELUM TERIDENTIFIKASI,3001,1724,19,85,65,0
8/9/2020,3201,KAB. BOGOR,348,196,10,4,0,0
8/9/2020,3204,KAB. BANDUNG,162,100,5,2,0,0
8/9/2020,3207,KAB. CIAMIS,14,12,0,0,0,0
8/9/2020,3209,KAB. CIREBON,68,15,4,0,0,0
8/9/2020,3210,KAB. MAJALENGKA,33,6,1,0,0,0
8/9/2020,3212,KAB. INDRAMAYU,51,32,4,0,0,0
8/9/2020,3215,KAB. KARAWANG,119,41,0,4,0,0
8/9/2020,3216,KAB. BEKASI,385,184,28,2,0,0
8/9/2020,3217,KAB. BANDUNG BARAT,84,65,3,0,0,0
8/9/2020,3273,KOTA BANDUNG,529,314,42,15,0,0
8/9/2020,3275,KOTA BEKASI,698,372,35,11,0,1
8/9/2020,3276,KOTA DEPOK,1088,804,41,1,0,1
8/9/2020,3277,KOTA CIMAHI,133,94,2,0,0,0
8/9/2020,3202,KAB. SUKABUMI,80,32,1,8,0,1
8/9/2020,3203,KAB. CIANJUR,38,17,2,0,0,0
8/9/2020,3205,KAB. GARUT,49,19,3,6,0,0
8/9/2020,3206,KAB. TASIKMALAYA,28,5,1,0,0,0
8/9/2020,3208,KAB. KUNINGAN,69,25,2,4,0,0
8/9/2020,3211,KAB. SUMEDANG,33,13,0,1,0,0
8/9/2020,3213,KAB. SUBANG,82,50,2,0,0,0
8/9/2020,3214,KAB. PURWAKARTA,50,29,1,0,0,0
8/9/2020,3218,KAB. PANGANDARAN,23,17,0,1,0,0
8/9/2020,3271,KOTA BOGOR,278,161,18,25,0,1
8/9/2020,3272,KOTA SUKABUMI,62,40,0,10,0,0
8/9/2020,3274,KOTA CIREBON,29,23,2,0,0,0
8/9/2020,3278,KOTA TASIKMALAYA,23,21,2,0,0,0
8/9/2020,3279,KOTA BANJAR,9,7,0,0,0,0
8/10/2020,0,BELUM TERIDENTIFIKASI,3013,1751,19,12,27,0
8/10/2020,3201,KAB. BOGOR,349,196,10,1,0,0
8/10/2020,3204,KAB. BANDUNG,162,100,5,0,0,0
8/10/2020,3207,KAB. CIAMIS,14,12,0,0,0,0
8/10/2020,3209,KAB. CIREBON,68,15,4,0,0,0
8/10/2020,3210,KAB. MAJALENGKA,34,6,1,1,0,0
8/10/2020,3212,KAB. INDRAMAYU,51,32,4,0,0,0
8/10/2020,3215,KAB. KARAWANG,120,41,0,1,0,0
8/10/2020,3216,KAB. BEKASI,389,184,28,4,0,0
8/10/2020,3217,KAB. BANDUNG BARAT,84,65,3,0,0,0
8/10/2020,3273,KOTA BANDUNG,529,314,42,0,0,0
8/10/2020,3275,KOTA BEKASI,702,372,35,4,0,0
8/10/2020,3276,KOTA DEPOK,1088,804,41,0,0,0
8/10/2020,3277,KOTA CIMAHI,133,94,2,0,0,0
8/10/2020,3202,KAB. SUKABUMI,80,32,1,0,0,0
8/10/2020,3203,KAB. CIANJUR,38,17,2,0,0,0
8/10/2020,3205,KAB. GARUT,51,19,3,2,0,0
8/10/2020,3206,KAB. TASIKMALAYA,28,5,1,0,0,0
8/10/2020,3208,KAB. KUNINGAN,69,25,2,0,0,0
8/10/2020,3211,KAB. SUMEDANG,33,13,0,0,0,0
8/10/2020,3213,KAB. SUBANG,82,50,2,0,0,0
8/10/2020,3214,KAB. PURWAKARTA,50,29,1,0,0,0
8/10/2020,3218,KAB. PANGANDARAN,23,17,0,0,0,0
8/10/2020,3271,KOTA BOGOR,286,161,18,8,0,0
8/10/2020,3272,KOTA SUKABUMI,62,40,0,0,0,0
8/10/2020,3274,KOTA CIREBON,29,23,2,0,0,0
8/10/2020,3278,KOTA TASIKMALAYA,23,21,2,0,0,0
8/10/2020,3279,KOTA BANJAR,9,7,0,0,0,0
8/11/2020,0,BELUM TERIDENTIFIKASI,3067,1790,19,54,39,0
8/11/2020,3201,KAB. BOGOR,349,196,10,0,0,0
8/11/2020,3204,KAB. BANDUNG,162,100,5,0,0,0
8/11/2020,3207,KAB. CIAMIS,14,12,0,0,0,0
8/11/2020,3209,KAB. CIREBON,68,15,4,0,0,0
8/11/2020,3210,KAB. MAJALENGKA,34,6,1,0,0,0
8/11/2020,3212,KAB. INDRAMAYU,51,32,4,0,0,0
8/11/2020,3215,KAB. KARAWANG,125,41,0,5,0,0
8/11/2020,3216,KAB. BEKASI,409,184,29,20,0,1
8/11/2020,3217,KAB. BANDUNG BARAT,85,65,3,1,0,0
8/11/2020,3273,KOTA BANDUNG,531,314,42,2,0,0
8/11/2020,3275,KOTA BEKASI,714,372,35,12,0,0
8/11/2020,3276,KOTA DEPOK,1088,804,43,0,0,2
8/11/2020,3277,KOTA CIMAHI,133,94,2,0,0,0
8/11/2020,3202,KAB. SUKABUMI,80,32,1,0,0,0
8/11/2020,3203,KAB. CIANJUR,38,17,2,0,0,0
8/11/2020,3205,KAB. GARUT,51,19,3,0,0,0
8/11/2020,3206,KAB. TASIKMALAYA,28,5,1,0,0,0
8/11/2020,3208,KAB. KUNINGAN,69,25,2,0,0,0
8/11/2020,3211,KAB. SUMEDANG,33,13,1,0,0,1
8/11/2020,3213,KAB. SUBANG,82,50,2,0,0,0
8/11/2020,3214,KAB. PURWAKARTA,50,29,1,0,0,0
8/11/2020,3218,KAB. PANGANDARAN,23,17,0,0,0,0
8/11/2020,3271,KOTA BOGOR,286,161,18,0,0,0
8/11/2020,3272,KOTA SUKABUMI,63,40,0,1,0,0
8/11/2020,3274,KOTA CIREBON,29,23,2,0,0,0
8/11/2020,3278,KOTA TASIKMALAYA,23,21,2,0,0,0
8/11/2020,3279,KOTA BANJAR,9,7,0,0,0,0
8/12/2020,0,BELUM TERIDENTIFIKASI,3130,1861,20,63,71,1
8/12/2020,3201,KAB. BOGOR,349,196,10,0,0,0
8/12/2020,3204,KAB. BANDUNG,162,100,5,0,0,0
8/12/2020,3207,KAB. CIAMIS,14,12,0,0,0,0
8/12/2020,3209,KAB. CIREBON,68,15,4,0,0,0
8/12/2020,3210,KAB. MAJALENGKA,34,6,1,0,0,0
8/12/2020,3212,KAB. INDRAMAYU,51,32,4,0,0,0
8/12/2020,3215,KAB. KARAWANG,125,41,0,0,0,0
8/12/2020,3216,KAB. BEKASI,418,184,29,9,0,0
8/12/2020,3217,KAB. BANDUNG BARAT,88,65,3,3,0,0
8/12/2020,3273,KOTA BANDUNG,542,314,42,11,0,0
8/12/2020,3275,KOTA BEKASI,725,372,35,11,0,0
8/12/2020,3276,KOTA DEPOK,1090,804,43,2,0,0
8/12/2020,3277,KOTA CIMAHI,133,94,2,0,0,0
8/12/2020,3202,KAB. SUKABUMI,80,32,1,0,0,0
8/12/2020,3203,KAB. CIANJUR,38,17,2,0,0,0
8/12/2020,3205,KAB. GARUT,53,19,3,2,0,0
8/12/2020,3206,KAB. TASIKMALAYA,28,5,1,0,0,0
8/12/2020,3208,KAB. KUNINGAN,71,25,2,2,0,0
8/12/2020,3211,KAB. SUMEDANG,35,13,1,2,0,0
8/12/2020,3213,KAB. SUBANG,82,50,2,0,0,0
8/12/2020,3214,KAB. PURWAKARTA,50,29,1,0,0,0
8/12/2020,3218,KAB. PANGANDARAN,23,17,0,0,0,0
8/12/2020,3271,KOTA BOGOR,289,161,18,3,0,0
8/12/2020,3272,KOTA SUKABUMI,64,40,0,1,0,0
8/12/2020,3274,KOTA CIREBON,29,23,2,0,0,0
8/12/2020,3278,KOTA TASIKMALAYA,23,21,2,0,0,0
8/12/2020,3279,KOTA BANJAR,9,7,0,0,0,0
8/13/2020,0,BELUM TERIDENTIFIKASI,3171,1890,20,41,29,0
8/13/2020,3201,KAB. BOGOR,350,196,10,1,0,0
8/13/2020,3204,KAB. BANDUNG,162,100,5,0,0,0
8/13/2020,3207,KAB. CIAMIS,14,12,0,0,0,0
8/13/2020,3209,KAB. CIREBON,68,15,4,0,0,0
8/13/2020,3210,KAB. MAJALENGKA,35,6,1,1,0,0
8/13/2020,3212,KAB. INDRAMAYU,51,32,4,0,0,0
8/13/2020,3215,KAB. KARAWANG,139,41,0,14,0,0
8/13/2020,3216,KAB. BEKASI,425,184,30,7,0,1
8/13/2020,3217,KAB. BANDUNG BARAT,88,65,3,0,0,0
8/13/2020,3273,KOTA BANDUNG,544,314,42,2,0,0
8/13/2020,3275,KOTA BEKASI,757,372,35,32,0,0
8/13/2020,3276,KOTA DEPOK,1091,804,43,1,0,0
8/13/2020,3277,KOTA CIMAHI,134,94,2,1,0,0
8/13/2020,3202,KAB. SUKABUMI,83,32,1,3,0,0
8/13/2020,3203,KAB. CIANJUR,38,17,2,0,0,0
8/13/2020,3205,KAB. GARUT,53,19,3,0,0,0
8/13/2020,3206,KAB. TASIKMALAYA,28,5,1,0,0,0
8/13/2020,3208,KAB. KUNINGAN,72,25,2,1,0,0
8/13/2020,3211,KAB. SUMEDANG,35,13,1,0,0,0
8/13/2020,3213,KAB. SUBANG,82,50,2,0,0,0
8/13/2020,3214,KAB. PURWAKARTA,50,29,1,0,0,0
8/13/2020,3218,KAB. PANGANDARAN,23,17,0,0,0,0
8/13/2020,3271,KOTA BOGOR,296,161,18,7,0,0
8/13/2020,3272,KOTA SUKABUMI,64,40,0,0,0,0
8/13/2020,3274,KOTA CIREBON,29,23,2,0,0,0
8/13/2020,3278,KOTA TASIKMALAYA,23,21,2,0,0,0
8/13/2020,3279,KOTA BANJAR,9,7,0,0,0,0
8/14/2020,0,BELUM TERIDENTIFIKASI,3376,1898,20,205,8,0
8/14/2020,3201,KAB. BOGOR,352,196,10,2,0,0
8/14/2020,3204,KAB. BANDUNG,163,100,5,1,0,0
8/14/2020,3207,KAB. CIAMIS,14,12,0,0,0,0
8/14/2020,3209,KAB. CIREBON,68,15,4,0,0,0
8/14/2020,3210,KAB. MAJALENGKA,35,6,1,0,0,0
8/14/2020,3212,KAB. INDRAMAYU,51,32,4,0,0,0
8/14/2020,3215,KAB. KARAWANG,139,41,0,0,0,0
8/14/2020,3216,KAB. BEKASI,442,184,30,17,0,0
8/14/2020,3217,KAB. BANDUNG BARAT,88,65,3,0,0,0
8/14/2020,3273,KOTA BANDUNG,557,314,42,13,0,0
8/14/2020,3275,KOTA BEKASI,824,372,36,67,0,1
8/14/2020,3276,KOTA DEPOK,1098,804,43,7,0,0
8/14/2020,3277,KOTA CIMAHI,134,94,2,0,0,0
8/14/2020,3202,KAB. SUKABUMI,84,32,1,1,0,0
8/14/2020,3203,KAB. CIANJUR,48,17,2,10,0,0
8/14/2020,3205,KAB. GARUT,54,19,3,1,0,0
8/14/2020,3206,KAB. TASIKMALAYA,28,5,1,0,0,0
8/14/2020,3208,KAB. KUNINGAN,72,25,2,0,0,0
8/14/2020,3211,KAB. SUMEDANG,50,13,1,15,0,0
8/14/2020,3213,KAB. SUBANG,82,50,3,0,0,1
8/14/2020,3214,KAB. PURWAKARTA,51,29,1,1,0,0
8/14/2020,3218,KAB. PANGANDARAN,24,17,0,1,0,0
8/14/2020,3271,KOTA BOGOR,315,161,18,19,0,0
8/14/2020,3272,KOTA SUKABUMI,64,40,0,0,0,0
8/14/2020,3274,KOTA CIREBON,29,23,2,0,0,0
8/14/2020,3278,KOTA TASIKMALAYA,24,21,2,1,0,0
8/14/2020,3279,KOTA BANJAR,9,7,0,0,0,0
8/15/2020,0,BELUM TERIDENTIFIKASI,3485,1934,20,109,36,0
8/15/2020,3201,KAB. BOGOR,354,196,10,2,0,0
8/15/2020,3204,KAB. BANDUNG,163,100,5,0,0,0
8/15/2020,3207,KAB. CIAMIS,14,12,0,0,0,0
8/15/2020,3209,KAB. CIREBON,68,15,4,0,0,0
8/15/2020,3210,KAB. MAJALENGKA,36,6,1,1,0,0
8/15/2020,3212,KAB. INDRAMAYU,51,32,4,0,0,0
8/15/2020,3215,KAB. KARAWANG,149,41,0,10,0,0
8/15/2020,3216,KAB. BEKASI,458,184,30,16,0,0
8/15/2020,3217,KAB. BANDUNG BARAT,88,65,3,0,0,0
8/15/2020,3273,KOTA BANDUNG,560,314,42,3,0,0
8/15/2020,3275,KOTA BEKASI,852,372,36,28,0,0
8/15/2020,3276,KOTA DEPOK,1152,804,43,54,0,0
8/15/2020,3277,KOTA CIMAHI,134,94,2,0,0,0
8/15/2020,3202,KAB. SUKABUMI,86,32,1,2,0,0
8/15/2020,3203,KAB. CIANJUR,48,17,2,0,0,0
8/15/2020,3205,KAB. GARUT,54,19,3,0,0,0
8/15/2020,3206,KAB. TASIKMALAYA,28,5,1,0,0,0
8/15/2020,3208,KAB. KUNINGAN,72,25,2,0,0,0
8/15/2020,3211,KAB. SUMEDANG,50,13,1,0,0,0
8/15/2020,3213,KAB. SUBANG,82,50,3,0,0,0
